@Id;Admin Leve;Boundary;Hub Name;Id;Is In Muni;Is In Prov;Is In Town;Name;PT HubName;Type;Area neigh;Density N;Fid;Geometry;Hub Dist;Pop Neigh;PT HubDist
relation/5802347;7;administrative;SCBD;relation/5802347;Grogol Petamburan;DKI Jakarta;Jakarta Barat;Jelambar Baru;;boundary;0,14;32609,8748;216;Point;7,530339863;4565;0,750329065
relation/5802348;7;administrative;SCBD;relation/5802348;Setiabudi;DKI Jakarta;Jakarta Selatan;Setiabudi;Dukuh Atas;boundary;;;217;Point;0,572254402;;0,256995059
relation/5802349;7;administrative;SCBD;relation/5802349;Kramat Jati;DKI Jakarta;Jakarta Timur;Cililitan;PGC 2;boundary;1,76;28509,2967;218;Point;7,660867607;50176;0,210425507
relation/5802350;7;administrative;SCBD;relation/5802350;Pasar Minggu;DKI Jakarta;Jakarta Selatan;Pejaten Barat;Buncit Indah;boundary;2,9;15904,6206;219;Point;7,746226214;46123;0,411099797
relation/5802351;7;administrative;SCBD;relation/5802351;Tambora;DKI Jakarta;Jakarta Barat;Krendang;;boundary;;;220;Point;6,460207551;;0,372460438
relation/5802352;7;administrative;SCBD;relation/5802352;Pesanggrahan;DKI Jakarta;Jakarta Selatan;Bintaro;Jalan Bintaro Barat;boundary;4,56;14368,3864;221;Point;10,350241083;65520;0,693088726
relation/5802353;7;administrative;SCBD;relation/5802353;Kalideres;DKI Jakarta;Jakarta Barat;Kamal;;boundary;4,9;14014,9306;222;Point;17,828816132;68673;4,425455159
relation/5802354;7;administrative;SCBD;relation/5802354;Cipayung;DKI Jakarta;Jakarta Timur;Bambu Apus;;boundary;3,17;10391,4445;223;Point;14,641761409;32941;1,219436960
relation/5802355;7;administrative;SCBD;relation/5802355;Kemayoran;DKI Jakarta;Jakarta Pusat;Kebon Kosong;Pool Damri Kemayoran;boundary;1,16;33130,3447;224;Point;5,760953684;38431;0,728289153
relation/5802356;7;administrative;SCBD;relation/5802356;Setiabudi;DKI Jakarta;Jakarta Selatan;Pasar Manggis;Pasar Rumput;boundary;0,78;42539,7436;225;Point;1,641824487;33181;0,416556736
relation/5802357;7;administrative;SCBD;relation/5802357;Kemayoran;DKI Jakarta;Jakarta Pusat;Kemayoran;;boundary;0,53;50254,9952;226;Point;4,644752092;26635;0,388131703
relation/5802359;7;administrative;SCBD;relation/5802359;Duren Sawit;DKI Jakarta;Jakarta Timur;Klender;Kampung Sumur;boundary;3,05;28953,7553;227;Point;8,950706322;88309;0,585721198
relation/5802360;7;administrative;SCBD;relation/5802360;Makasar;DKI Jakarta;Jakarta Timur;Cipinang Melayu;Halte RS Harum Sisma Medika;boundary;2,53;20907,077;228;Point;9,959013244;52895;1,055730474
relation/5802361;7;administrative;SCBD;relation/5802361;Setiabudi;DKI Jakarta;Jakarta Selatan;Karet Kuningan;Halte Ambasador Mall Ambasador;boundary;1,79;11034,0973;229;Point;1,922104025;19751;0,434992748
relation/5802362;7;administrative;SCBD;relation/5802362;Koja;DKI Jakarta;Jakarta Utara;Tugu Utara;halte pelumpang pertamina;boundary;3,32;26342,4699;230;Point;12,699988426;87457;2,070540396
relation/5802363;7;administrative;SCBD;relation/5802363;Ciracas;DKI Jakarta;Jakarta Timur;Ciracas;Ciracas;boundary;3,93;20623,871;231;Point;14,540022081;81052;1,300619806
relation/5802364;7;administrative;SCBD;relation/5802364;Tambora;DKI Jakarta;Jakarta Barat;Roa Malaka;Kali Besar Barat;boundary;0,53;7516,0075;232;Point;7,687215186;3983;0,258459104
relation/5802365;7;administrative;SCBD;relation/5802365;Ciracas;DKI Jakarta;Jakarta Timur;Rambutan;Kampung Rambutan;boundary;2,09;22237,3206;233;Point;12,745981115;46476;0,845538139
relation/5802366;7;administrative;SCBD;relation/5802366;Kembangan;DKI Jakarta;Jakarta Barat;Kembangan Selatan;Bojong Indah;boundary;3,61;9264,5734;234;Point;10,122237885;33445;2,662687491
relation/5802367;7;administrative;SCBD;relation/5802367;Pasar Rebo;DKI Jakarta;Jakarta Timur;Kalisari;Halte SMAN 38;boundary;2,89;18617,3778;235;Point;14,854486720;53804;1,709378355
relation/5802368;7;administrative;SCBD;relation/5802368;Jatinegara;DKI Jakarta;Jakarta Timur;Bidara Cina;Gelanggang Remaja;boundary;1,26;35848,5329;236;Point;5,530929187;45169;0,167344810
relation/5802369;7;administrative;SCBD;relation/5802369;Cilandak;DKI Jakarta;Jakarta Selatan;Cipete Selatan;;boundary;2,32;14114,4555;237;Point;8,129083750;32746;0,910143682
relation/5802370;7;administrative;SCBD;relation/5802370;Cipayung;DKI Jakarta;Jakarta Timur;Lubang Buaya;Taman Burung;boundary;3,72;21439,5486;238;Point;13,040994192;79755;0,767310761
relation/5802371;7;administrative;SCBD;relation/5802371;Kebayoran Baru;DKI Jakarta;Jakarta Selatan;Kramat Pela;One Park Residence;boundary;1,25;14087,9648;239;Point;6,099822305;17610;0,304031032
